nohup: 忽略输入
[NORMAL][1658670800][当前已经建立的索引文档： 5050][index.hpp:109]
[NORMAL][1658670800][当前已经建立的索引文档： 5100][index.hpp:109]
[NORMAL][1658670800][当前已经建立的索引文档： 5150][index.hpp:109]
[NORMAL][1658670800][当前已经建立的索引文档： 5200][index.hpp:109]
[NORMAL][1658670800][当前已经建立的索引文档： 5250][index.hpp:109]
[NORMAL][1658670800][当前已经建立的索引文档： 5300][index.hpp:109]
[NORMAL][1658670800][当前已经建立的索引文档： 5350][index.hpp:109]
[NORMAL][1658670800][当前已经建立的索引文档： 5400][index.hpp:109]
[NORMAL][1658670801][当前已经建立的索引文档： 5450][index.hpp:109]
[NORMAL][1658670801][当前已经建立的索引文档： 5500][index.hpp:109]
[NORMAL][1658670801][当前已经建立的索引文档： 5550][index.hpp:109]
[NORMAL][1658670801][当前已经建立的索引文档： 5600][index.hpp:109]
[NORMAL][1658670801][当前已经建立的索引文档： 5650][index.hpp:109]
[NORMAL][1658670801][当前已经建立的索引文档： 5700][index.hpp:109]
[NORMAL][1658670801][当前已经建立的索引文档： 5750][index.hpp:109]
[NORMAL][1658670801][当前已经建立的索引文档： 5800][index.hpp:109]
[NORMAL][1658670801][当前已经建立的索引文档： 5850][index.hpp:109]
[NORMAL][1658670801][当前已经建立的索引文档： 5900][index.hpp:109]
[NORMAL][1658670801][当前已经建立的索引文档： 5950][index.hpp:109]
[NORMAL][1658670802][当前已经建立的索引文档： 6000][index.hpp:109]
[NORMAL][1658670802][当前已经建立的索引文档： 6050][index.hpp:109]
[NORMAL][1658670802][当前已经建立的索引文档： 6100][index.hpp:109]
[NORMAL][1658670802][当前已经建立的索引文档： 6150][index.hpp:109]
[NORMAL][1658670802][当前已经建立的索引文档： 6200][index.hpp:109]
[NORMAL][1658670802][当前已经建立的索引文档： 6250][index.hpp:109]
[NORMAL][1658670802][当前已经建立的索引文档： 6300][index.hpp:109]
[NORMAL][1658670802][当前已经建立的索引文档： 6350][index.hpp:109]
[NORMAL][1658670803][当前已经建立的索引文档： 6400][index.hpp:109]
[NORMAL][1658670803][当前已经建立的索引文档： 6450][index.hpp:109]
[NORMAL][1658670803][当前已经建立的索引文档： 6500][index.hpp:109]
[NORMAL][1658670803][当前已经建立的索引文档： 6550][index.hpp:109]
[NORMAL][1658670803][当前已经建立的索引文档： 6600][index.hpp:109]
[NORMAL][1658670803][当前已经建立的索引文档： 6650][index.hpp:109]
[NORMAL][1658670804][当前已经建立的索引文档： 6700][index.hpp:109]
[NORMAL][1658670804][当前已经建立的索引文档： 6750][index.hpp:109]
[NORMAL][1658670804][当前已经建立的索引文档： 6800][index.hpp:109]
[NORMAL][1658670804][当前已经建立的索引文档： 6850][index.hpp:109]
[NORMAL][1658670804][当前已经建立的索引文档： 6900][index.hpp:109]
[NORMAL][1658670804][当前已经建立的索引文档： 6950][index.hpp:109]
[NORMAL][1658670804][当前已经建立的索引文档： 7000][index.hpp:109]
[NORMAL][1658670805][当前已经建立的索引文档： 7050][index.hpp:109]
[NORMAL][1658670805][当前已经建立的索引文档： 7100][index.hpp:109]
[NORMAL][1658670805][当前已经建立的索引文档： 7150][index.hpp:109]
[NORMAL][1658670805][当前已经建立的索引文档： 7200][index.hpp:109]
[NORMAL][1658670805][当前已经建立的索引文档： 7250][index.hpp:109]
[NORMAL][1658670805][当前已经建立的索引文档： 7300][index.hpp:109]
[NORMAL][1658670805][当前已经建立的索引文档： 7350][index.hpp:109]
[NORMAL][1658670805][当前已经建立的索引文档： 7400][index.hpp:109]
[NORMAL][1658670805][当前已经建立的索引文档： 7450][index.hpp:109]
[NORMAL][1658670806][当前已经建立的索引文档： 7500][index.hpp:109]
[NORMAL][1658670806][当前已经建立的索引文档： 7550][index.hpp:109]
[NORMAL][1658670806][当前已经建立的索引文档： 7600][index.hpp:109]
[NORMAL][1658670807][当前已经建立的索引文档： 7650][index.hpp:109]
[NORMAL][1658670807][当前已经建立的索引文档： 7700][index.hpp:109]
[NORMAL][1658670808][当前已经建立的索引文档： 7750][index.hpp:109]
[NORMAL][1658670808][当前已经建立的索引文档： 7800][index.hpp:109]
[NORMAL][1658670809][当前已经建立的索引文档： 7850][index.hpp:109]
[NORMAL][1658670810][当前已经建立的索引文档： 7900][index.hpp:109]
[NORMAL][1658670812][当前已经建立的索引文档： 7950][index.hpp:109]
[NORMAL][1658670813][当前已经建立的索引文档： 8000][index.hpp:109]
[NORMAL][1658670814][当前已经建立的索引文档： 8050][index.hpp:109]
[NORMAL][1658670816][当前已经建立的索引文档： 8100][index.hpp:109]
[NORMAL][1658670818][当前已经建立的索引文档： 8150][index.hpp:109]
[NORMAL][1658670819][建立正排和倒排索引成功...][searcher.hpp:32]
[NORMAL][1658670819][服务器启动成功...][http_server.cc:29]
[NORMAL][1658671087][用户正在搜索split][http_server.cc:22]
